theme,subcategory,count
Ads related issues,Ads gating / too many ads,81
Ads related issues,Misleading ads / bait-and-switch,22
Ads related issues,Story mismatch vs ads,3
Coins related issues,Too expensive / high coin cost,221
Coins related issues,Subscription needed / request,89
Coins related issues,Too slow unlock / few free episodes,41
Content discovery issues,Search/discoverability issues,30
Content discovery issues,Poor recommendations/irrelevant suggestions,27
Content discovery issues,Auto-starts other series,1
Content discovery issues,Content discovery friction,1
Content quality & format,AI voices / quality,194
Content quality & format,Visual vs audio expectation,26
Listening related issues,Offline / download issues,34
Listening related issues,Crashes / app not working,17
Listening related issues,Playback jumps / episode switching,11
Listening related issues,Buffering / won't load,4
Listening related issues,Listening related issues,1
Listening related issues,Notifications / interruptions,1
Localization & Availability,Missing languages / dubbing,3
Other,Other,142
Payments & Support,Support unresponsive,22
Payments & Support,Billing / refund / trial issues,9
Payments & Support,Payments & Support,4
Payments & Support,Unauthorized charge / auto pay,2
